fixture_id,season_id,competition_id,actual_result,actual_score,v4_p_h,v4_p_d,v4_p_a,e10_p_h,e10_p_d,e10_p_a,abs_elo_diff,lambda_home,lambda_away
10440869,2894,499,A,1-2,0.421,0.2588,0.3203,0.4083,0.2833,0.3083,104.8,1.437,1.22
10440882,2858,419,D,0-0,0.577,0.226,0.197,0.5684,0.2431,0.1884,360.5,1.844,0.978
10440883,2748,200,H,5-2,0.7682,0.1424,0.0894,0.7629,0.153,0.0841,398.1,2.694,0.825
10634172,2748,200,H,3-1,0.153,0.187,0.6601,0.1449,0.2072,0.6479,91.4,1.005,2.278
10634400,2747,423,H,1-0,0.4599,0.2533,0.2868,0.4393,0.2903,0.2704,56.0,1.535,1.157
10634449,2745,477,D,0-0,0.3917,0.2548,0.3535,0.3688,0.2992,0.3319,29.0,1.421,1.337
10634600,2748,200,D,1-1,0.4718,0.2525,0.2757,0.4588,0.2772,0.2641,101.6,1.553,1.126
10634611,2747,423,D,2-2,0.4627,0.2438,0.2935,0.451,0.2662,0.2828,107.8,1.63,1.25
10634612,2745,477,H,2-0,0.7091,0.1642,0.1267,0.7032,0.176,0.1208,349.4,2.548,0.997
10634617,2858,419,A,0-1,0.4024,0.2696,0.328,0.3758,0.3197,0.3045,18.9,1.324,1.168
10634684,2894,499,H,3-2,0.4688,0.2471,0.2841,0.458,0.2682,0.2738,123.1,1.602,1.192
10634685,2894,499,H,2-1,0.5786,0.2146,0.2068,0.5707,0.2305,0.1989,243.6,1.996,1.111
10634711,2858,419,H,1-0,0.4012,0.2685,0.3303,0.3851,0.2997,0.3152,80.2,1.33,1.18
10634749,2748,200,D,1-1,0.2614,0.2376,0.501,0.2496,0.2641,0.4863,84.0,1.181,1.724
10634750,2894,499,A,0-1,0.3008,0.2474,0.4518,0.2891,0.2719,0.4389,97.3,1.246,1.582
10634751,2894,499,H,1-0,0.4539,0.2433,0.3028,0.4357,0.2767,0.2877,60.3,1.625,1.285
10634791,2858,419,A,1-2,0.2951,0.2451,0.4598,0.2853,0.265,0.4497,135.3,1.245,1.613
10642678,2748,200,D,0-0,0.3262,0.2485,0.4253,0.3051,0.2945,0.4004,13.4,1.315,1.536
10642679,2748,200,D,2-2,0.4413,0.2513,0.3074,0.4318,0.2703,0.2979,172.3,1.532,1.237
10642680,2748,200,A,2-4,0.4303,0.2519,0.3178,0.4208,0.271,0.3083,169.9,1.511,1.264
10642681,2748,200,A,0-3,0.3787,0.2579,0.3634,0.359,0.2969,0.3441,50.1,1.368,1.335
10764549,2858,419,D,0-0,0.5309,0.2493,0.2198,0.5214,0.2682,0.2104,212.9,1.61,0.939
10764579,2894,499,A,2-5,0.2901,0.2421,0.4678,0.2786,0.2666,0.4548,94.6,1.252,1.653
10764605,2858,419,A,0-3,0.319,0.2829,0.3981,0.3065,0.3085,0.3851,110.7,1.067,1.227
10764622,2894,499,H,3-0,0.4693,0.2414,0.2893,0.4602,0.2595,0.2803,218.1,1.661,1.254
10764641,2747,423,D,1-1,0.6484,0.2013,0.1503,0.6408,0.2166,0.1426,380.1,2.066,0.879
10764647,2858,419,H,3-0,0.5229,0.2501,0.2269,0.5134,0.2691,0.2174,269.2,1.601,0.962
10918319,2858,419,A,0-2,0.4058,0.2687,0.3254,0.3943,0.2915,0.3142,124.6,1.336,1.167
10918351,2745,477,H,1-0,0.6043,0.2171,0.1786,0.596,0.2336,0.1704,229.1,1.926,0.941
10918384,2748,200,H,4-1,0.6351,0.2014,0.1634,0.6276,0.2166,0.1559,293.0,2.098,0.961
10918398,2858,419,D,1-1,0.5377,0.2474,0.2149,0.5283,0.2661,0.2056,346.7,1.628,0.929
10986778,2747,423,H,1-0,0.652,0.1994,0.1486,0.6444,0.2145,0.141,300.7,2.086,0.881
10987115,2745,477,A,2-3,0.6406,0.1953,0.1641,0.6334,0.2097,0.1569,371.4,2.187,1.013
10987116,2745,477,A,0-3,0.588,0.2114,0.2006,0.5802,0.227,0.1928,237.6,2.032,1.104
10987117,2745,477,D,0-0,0.5956,0.2122,0.1922,0.5877,0.2281,0.1843,288.3,2.008,1.05
10987118,2745,477,A,1-2,0.214,0.2232,0.5629,0.1985,0.2662,0.5353,18.4,1.081,1.891
10987119,2745,477,A,0-1,0.2953,0.2366,0.4681,0.2764,0.2807,0.4429,3.4,1.316,1.713
10987292,2747,423,H,3-1,0.3769,0.2711,0.352,0.3644,0.2958,0.3398,111.0,1.267,1.215
10987294,2747,423,D,1-1,0.4089,0.2615,0.3296,0.3838,0.3087,0.3075,25.0,1.396,1.226
10987296,2747,423,H,3-2,0.2759,0.2563,0.4678,0.2556,0.3043,0.44,20.0,1.102,1.516
10987303,2747,423,A,1-2,0.5562,0.2281,0.2158,0.5475,0.2453,0.2072,223.7,1.833,1.054
10987773,2748,200,A,1-4,0.4443,0.2317,0.324,0.436,0.2483,0.3158,193.1,1.743,1.461
10987824,2858,419,H,2-0,0.4014,0.2701,0.3285,0.3897,0.2931,0.3171,123.6,1.318,1.166
10987928,2747,423,A,0-3,0.2026,0.2286,0.5687,0.1869,0.2733,0.5398,21.5,0.988,1.819
10987937,2745,477,H,2-1,0.3442,0.2634,0.3924,0.3279,0.297,0.3751,70.0,1.249,1.352
10987938,2894,499,D,0-0,0.3322,0.2499,0.4178,0.3104,0.297,0.3927,2.8,1.321,1.511
10987939,2894,499,D,0-0,0.4913,0.2389,0.2699,0.4823,0.2568,0.2609,215.0,1.705,1.204
10987982,2858,419,A,1-2,0.3087,0.2621,0.4292,0.294,0.2934,0.4126,77.6,1.164,1.422
10988041,2894,499,H,3-0,0.7446,0.1576,0.0978,0.7386,0.1695,0.0919,451.6,2.481,0.786
10988042,2894,499,H,1-0,0.4397,0.2451,0.3152,0.4296,0.265,0.3054,131.9,1.59,1.31
10988056,2748,200,H,2-1,0.5281,0.2359,0.236,0.5192,0.2537,0.2271,197.5,1.748,1.089
10988068,2858,419,A,1-4,0.2779,0.2439,0.4782,0.2684,0.2632,0.4684,144.3,1.195,1.643
11220685,2748,200,D,1-1,0.4842,0.2408,0.275,0.4752,0.2588,0.266,211.9,1.68,1.208
11220885,2747,423,H,3-0,0.2015,0.223,0.5755,0.1913,0.2469,0.5618,92.3,1.02,1.883
11220887,2747,423,A,0-2,0.309,0.2596,0.4314,0.2969,0.2847,0.4184,102.4,1.182,1.445
11221051,2748,200,A,1-3,0.425,0.2571,0.3179,0.4094,0.2867,0.3039,80.8,1.458,1.226
11221052,2748,200,H,1-0,0.2446,0.2409,0.5145,0.2278,0.2833,0.4889,34.1,1.089,1.691
11221053,2748,200,A,1-2,0.286,0.2315,0.4825,0.2712,0.2657,0.4631,49.3,1.327,1.785
11221054,2748,200,D,2-2,0.474,0.2502,0.2759,0.4645,0.2692,0.2664,196.2,1.577,1.142
11221105,2745,477,D,1-1,0.2317,0.2252,0.543,0.2201,0.253,0.5269,73.8,1.15,1.875
11221287,2748,200,H,2-1,0.6317,0.2058,0.1624,0.624,0.2214,0.1546,217.2,2.037,0.924
11221310,2747,423,D,3-3,0.1472,0.1946,0.6582,0.1399,0.2092,0.6509,167.5,0.906,2.148
11221325,2858,419,H,1-0,0.4725,0.2692,0.2583,0.4615,0.2908,0.2477,138.9,1.414,0.97
11221327,2745,477,A,0-7,0.0683,0.1089,0.8228,0.0646,0.1163,0.8192,188.3,0.903,3.252
11221363,2894,499,D,0-0,0.2859,0.2449,0.4692,0.266,0.2917,0.4423,2.5,1.216,1.625
11221364,2894,499,H,4-0,0.6054,0.2136,0.181,0.5973,0.2297,0.173,334.7,1.974,0.978
11221390,2858,419,A,0-2,0.4616,0.2572,0.2812,0.4518,0.2768,0.2714,166.6,1.502,1.113
11221428,2748,200,A,1-7,0.1144,0.1483,0.7373,0.1074,0.1734,0.7192,47.5,1.042,2.788
11221429,2894,499,D,1-1,0.3392,0.2474,0.4135,0.3206,0.2866,0.3928,42.2,1.361,1.527
11221430,2894,499,D,1-1,0.4075,0.2556,0.3369,0.3886,0.2917,0.3197,58.0,1.442,1.288
11221461,2858,419,A,1-4,0.3776,0.2741,0.3483,0.3506,0.3268,0.3226,0.5,1.248,1.187
11365130,2894,499,H,1-0,0.5273,0.2404,0.2323,0.5181,0.2587,0.2232,209.8,1.698,1.043
11365158,2858,419,D,1-1,0.3383,0.2634,0.3983,0.316,0.3103,0.3737,27.2,1.235,1.363
11365171,2894,499,D,0-0,0.2858,0.2598,0.4544,0.2752,0.2815,0.4434,130.1,1.111,1.472
11365180,2747,423,H,2-1,0.1926,0.2189,0.5885,0.184,0.2368,0.5792,134.9,1.003,1.924
11365187,2858,419,H,3-1,0.4765,0.2646,0.2589,0.4665,0.2846,0.2489,150.5,1.453,0.996
11554760,2894,499,A,1-2,0.3922,0.2584,0.3494,0.3771,0.2879,0.335,81.4,1.392,1.299
11554915,2858,419,A,0-1,0.465,0.2592,0.2758,0.4529,0.2825,0.2646,114.4,1.488,1.083
11554953,2745,477,H,1-0,0.688,0.1735,0.1385,0.6818,0.1859,0.1323,202.0,2.444,1.013
11554972,2894,499,H,3-1,0.2101,0.2212,0.5687,0.1968,0.2569,0.5463,47.1,1.076,1.913
11554979,2748,200,A,1-3,0.3466,0.2582,0.3952,0.3236,0.3061,0.3703,16.5,1.293,1.399
11554984,2858,419,H,1-0,0.4934,0.2547,0.2518,0.4838,0.2741,0.2421,237.6,1.548,1.028
11621757,2747,423,A,0-1,0.3681,0.2542,0.3777,0.346,0.2989,0.3552,27.2,1.376,1.397
11622089,2745,477,H,2-0,0.6509,0.1987,0.1504,0.6434,0.2137,0.1429,220.3,2.101,0.898
11622091,2745,477,A,0-3,0.4406,0.2566,0.3027,0.4178,0.2981,0.2841,43.3,1.483,1.184
11622092,2745,477,H,1-0,0.6299,0.2056,0.1646,0.6221,0.2211,0.1568,177.6,2.045,0.939
11622093,2745,477,A,0-1,0.29,0.2524,0.4576,0.2804,0.2716,0.448,172.9,1.174,1.54
11622094,2745,477,A,1-6,0.1484,0.201,0.6506,0.1408,0.2162,0.643,181.1,0.87,2.066
11622254,2747,423,D,1-1,0.5311,0.2278,0.2411,0.5226,0.2447,0.2326,175.4,1.845,1.172
11622257,2747,423,H,1-0,0.5119,0.2426,0.2455,0.5027,0.2611,0.2363,165.6,1.673,1.081
11622259,2747,423,H,2-1,0.6276,0.2099,0.1625,0.6196,0.2259,0.1545,217.2,1.986,0.897
11622262,2747,423,H,9-0,0.7768,0.1443,0.0789,0.7713,0.1553,0.0734,359.7,2.562,0.695
11622265,2747,423,H,4-2,0.8195,0.1155,0.065,0.8152,0.1239,0.0608,384.7,3.013,0.773
11622825,2748,200,H,1-0,0.4393,0.2528,0.3079,0.4166,0.2942,0.2892,40.6,1.516,1.227
11622880,2858,419,A,0-1,0.2636,0.2609,0.4755,0.245,0.3052,0.4498,39.3,1.032,1.482
11623041,2747,423,H,2-1,0.6515,0.1993,0.1492,0.644,0.2144,0.1416,345.6,2.09,0.886
11623048,2745,477,D,1-1,0.8106,0.1091,0.0803,0.8075,0.1154,0.0771,344.4,3.465,1.112
11623050,2894,499,A,1-2,0.3412,0.2612,0.3976,0.3265,0.2914,0.3822,80.6,1.258,1.379
11623051,2894,499,D,1-1,0.3204,0.2502,0.4294,0.3109,0.2691,0.42,148.2,1.284,1.525
11623119,2858,419,A,0-2,0.4521,0.2644,0.2835,0.4411,0.286,0.2729,134.6,1.432,1.076
11623198,2894,499,H,2-0,0.7323,0.1631,0.1046,0.7262,0.1754,0.0984,381.7,2.432,0.806
11623199,2894,499,D,2-2,0.2547,0.2474,0.4979,0.2368,0.2918,0.4715,30.7,1.085,1.619
11623217,2748,200,H,2-1,0.4361,0.246,0.3179,0.4229,0.2712,0.3058,92.1,1.576,1.311
11623237,2858,419,H,2-1,0.3168,0.2624,0.4207,0.295,0.3102,0.3948,23.7,1.185,1.407
11865684,2748,200,H,3-1,0.3689,0.2553,0.3759,0.3569,0.2792,0.3639,105.5,1.369,1.384
11865919,2747,423,A,0-1,0.4879,0.2504,0.2617,0.47,0.2822,0.2478,72.1,1.585,1.091
11865927,2747,423,D,1-1,0.3346,0.2669,0.3985,0.3104,0.3181,0.3715,5.5,1.202,1.336
11866105,2748,200,H,2-1,0.462,0.2559,0.2821,0.4477,0.2828,0.2696,92.3,1.513,1.125
11866108,2748,200,A,0-3,0.4007,0.2626,0.3367,0.3754,0.3107,0.3139,21.1,1.374,1.237
11866110,2748,200,A,0-7,0.5436,0.2254,0.231,0.5343,0.2435,0.2222,136.6,1.872,1.145
11866111,2748,200,H,3-1,0.3814,0.2601,0.3585,0.37,0.2828,0.3472,118.6,1.357,1.307
11866172,2745,477,D,0-0,0.5197,0.2323,0.248,0.511,0.2497,0.2393,195.4,1.79,1.167
11866416,2748,200,D,1-1,0.2018,0.2103,0.5879,0.1912,0.2371,0.5717,71.2,1.119,2.048
11866432,2747,423,A,0-2,0.2196,0.2192,0.5611,0.2066,0.2533,0.5401,49.3,1.14,1.946
11866446,2858,419,D,0-0,0.2091,0.2467,0.5441,0.1981,0.2718,0.5302,98.8,0.909,1.633
11866448,2745,477,A,3-4,0.4503,0.2537,0.296,0.4242,0.3002,0.2756,22.5,1.52,1.184
11866493,2894,499,A,0-1,0.2852,0.238,0.4768,0.2662,0.2828,0.4509,3.4,1.268,1.705
11866495,2894,499,H,4-0,0.4919,0.255,0.2531,0.4717,0.2902,0.2381,63.9,1.545,1.032
11866536,2858,419,H,4-0,0.7486,0.1585,0.0929,0.7426,0.1705,0.0869,407.3,2.432,0.733
11866579,2748,200,D,1-1,0.7803,0.1259,0.0937,0.7763,0.1339,0.0897,209.2,3.139,1.067
11866580,2894,499,D,0-0,0.2409,0.2189,0.5402,0.2314,0.2401,0.5285,96.9,1.247,1.962
11866581,2894,499,D,1-1,0.5156,0.2478,0.2367,0.5061,0.2666,0.2272,160.5,1.622,1.014
11866617,2858,419,A,1-3,0.1281,0.1771,0.6947,0.1215,0.1904,0.6881,216.3,0.897,2.333
12040442,2858,419,A,0-4,0.2659,0.2686,0.4656,0.2441,0.3213,0.4346,3.8,0.997,1.413
12040459,2858,419,A,0-1,0.3248,0.2729,0.4023,0.3086,0.3068,0.3847,73.2,1.139,1.3
12067050,2894,499,D,0-0,0.2427,0.2269,0.5304,0.2333,0.2472,0.5196,111.1,1.187,1.857
12067114,2747,423,H,2-1,0.2826,0.2621,0.4553,0.265,0.3022,0.4328,51.2,1.087,1.454
12067115,2747,423,D,1-1,0.3684,0.2503,0.3813,0.3574,0.2724,0.3702,113.7,1.41,1.438
12067131,2894,499,H,3-1,0.8297,0.1108,0.0595,0.8256,0.119,0.0554,364.5,3.043,0.735
12067134,2894,499,H,3-0,0.6727,0.1919,0.1354,0.6655,0.2064,0.1281,241.8,2.146,0.844
12067167,2747,423,H,2-1,0.2581,0.2484,0.4935,0.2479,0.2697,0.4824,123.3,1.091,1.607
12067206,2747,423,D,1-1,0.4408,0.2526,0.3066,0.4307,0.2727,0.2966,144.0,1.519,1.225
12111770,2894,499,D,1-1,0.4428,0.2586,0.2986,0.4188,0.302,0.2793,38.5,1.469,1.158
12111771,2894,499,D,1-1,0.2334,0.2425,0.5241,0.223,0.265,0.5121,110.2,1.034,1.676
12111772,2894,499,H,1-0,0.3205,0.2543,0.4252,0.3066,0.2835,0.4099,80.9,1.253,1.482
12111804,2748,200,A,2-4,0.5409,0.2195,0.2396,0.5329,0.2355,0.2316,321.1,1.953,1.235
12111805,2748,200,A,2-4,0.3564,0.2533,0.3903,0.3359,0.2954,0.3688,36.5,1.356,1.431
12111806,2748,200,H,2-0,0.451,0.2389,0.3101,0.4367,0.2658,0.2975,80.1,1.669,1.346
12111807,2748,200,H,2-1,0.6915,0.1793,0.1292,0.6848,0.1927,0.1225,218.8,2.305,0.889
12111808,2748,200,D,1-1,0.3939,0.252,0.3541,0.3829,0.2738,0.3433,118.5,1.449,1.361
12111897,2747,423,D,0-0,0.3704,0.2658,0.3638,0.3598,0.2871,0.3531,143.4,1.291,1.277
12111899,2747,423,H,2-1,0.713,0.1713,0.1157,0.7065,0.1842,0.1093,280.9,2.364,0.841
12111900,2747,423,H,6-0,0.8908,0.0756,0.0336,0.888,0.0812,0.0308,411.5,3.527,0.635
12111908,2894,499,H,2-0,0.7069,0.1803,0.1128,0.7,0.194,0.106,349.5,2.216,0.755
12111909,2894,499,D,1-1,0.7388,0.1595,0.1017,0.7328,0.1715,0.0957,340.4,2.474,0.806
12111923,2747,423,D,1-1,0.2168,0.2297,0.5535,0.2022,0.2683,0.5295,43.0,1.047,1.814
12111950,2747,423,H,2-1,0.7442,0.1517,0.1042,0.7386,0.1628,0.0986,319.4,2.636,0.898
12111953,2748,200,A,1-2,0.4439,0.2559,0.3002,0.4341,0.2754,0.2905,161.0,1.493,1.182
12111954,2748,200,H,1-0,0.6703,0.1889,0.1408,0.6632,0.2031,0.1337,317.0,2.207,0.903
12111955,2748,200,H,5-2,0.6022,0.211,0.1868,0.5943,0.2269,0.1789,281.1,2.015,1.028
12111956,2748,200,H,3-1,0.6376,0.1994,0.163,0.6301,0.2144,0.1555,279.5,2.124,0.973
12111957,2748,200,A,0-3,0.0738,0.1183,0.8079,0.0697,0.1266,0.8037,149.9,0.873,3.073
12167538,2894,499,H,3-1,0.509,0.2483,0.2427,0.4996,0.2672,0.2332,189.3,1.615,1.034
12167539,2894,499,D,1-1,0.3459,0.2561,0.398,0.3357,0.2766,0.3877,142.6,1.307,1.421
12167544,2747,423,A,0-1,0.4724,0.2445,0.2831,0.4517,0.2812,0.2671,51.5,1.632,1.209
12192935,2745,477,H,1-0,0.5132,0.2274,0.2594,0.5049,0.2441,0.251,254.6,1.849,1.255
12192970,2858,419,H,3-0,0.5752,0.236,0.1888,0.5663,0.2539,0.1798,189.2,1.73,0.878
12269095,2747,423,D,0-0,0.1107,0.1643,0.725,0.1045,0.1766,0.7188,227.2,0.851,2.45
12269227,2858,419,D,1-1,0.3841,0.2724,0.3434,0.3626,0.3142,0.3232,49.6,1.272,1.187
12269282,2894,499,D,1-1,0.4119,0.2682,0.32,0.3866,0.3153,0.2981,30.9,1.349,1.156
12269475,2745,477,A,2-3,0.4039,0.244,0.3521,0.3944,0.2631,0.3426,142.2,1.543,1.425
12269476,2745,477,D,1-1,0.133,0.1624,0.7046,0.1251,0.1885,0.6864,50.3,1.074,2.621
12269478,2745,477,A,2-4,0.3353,0.2545,0.4102,0.3185,0.2896,0.3918,60.7,1.292,1.456
12269479,2745,477,A,0-2,0.3012,0.2314,0.4675,0.2924,0.2491,0.4585,139.6,1.385,1.774
12269480,2745,477,D,1-1,0.6959,0.1842,0.1199,0.6889,0.1983,0.1129,232.6,2.192,0.783
12269927,2747,423,H,5-2,0.4917,0.2377,0.2706,0.4817,0.2572,0.261,129.2,1.718,1.215
12269931,2747,423,D,0-0,0.4611,0.2491,0.2898,0.4506,0.2698,0.2797,129.6,1.575,1.197
12269934,2747,423,A,2-3,0.5045,0.2484,0.2472,0.4913,0.2728,0.2359,101.6,1.613,1.05
12269938,2747,423,H,2-1,0.6556,0.1968,0.1477,0.6481,0.2117,0.1402,351.7,2.119,0.893
12269942,2747,423,H,1-0,0.4495,0.266,0.2845,0.4379,0.2885,0.2736,125.7,1.416,1.069
12270120,2858,419,H,2-1,0.6718,0.1808,0.1474,0.6652,0.1939,0.1409,244.7,2.358,1.018
12270326,2748,200,A,0-2,0.2124,0.2282,0.5595,0.1982,0.2658,0.5359,45.7,1.037,1.83
12270378,2894,499,H,3-2,0.4153,0.2456,0.3391,0.4028,0.27,0.3272,95.2,1.548,1.376
12270541,2747,423,D,1-1,0.0669,0.1205,0.8126,0.0624,0.1295,0.8081,238.3,0.748,2.916
12270551,2858,419,D,1-1,0.3373,0.2692,0.3935,0.3127,0.3209,0.3665,5.5,1.193,1.311
12270553,2745,477,H,4-0,0.2389,0.2295,0.5316,0.222,0.2739,0.5041,8.8,1.149,1.823
12270557,2748,200,H,5-0,0.7822,0.1371,0.0807,0.7771,0.1474,0.0755,351.6,2.717,0.772
12270735,2894,499,A,1-2,0.2828,0.2436,0.4736,0.2633,0.2899,0.4469,8.6,1.214,1.642
12270743,2748,200,A,0-3,0.1085,0.1489,0.7426,0.1031,0.1608,0.7361,130.4,0.971,2.727
12270760,2858,419,A,0-3,0.2474,0.2476,0.505,0.2283,0.2961,0.4755,10.2,1.056,1.62
12535907,2894,499,D,0-0,0.3449,0.2418,0.4133,0.3265,0.2804,0.393,38.7,1.426,1.582
12535918,2748,200,A,1-3,0.3159,0.2387,0.4454,0.2963,0.2824,0.4212,8.9,1.368,1.665
12536056,2858,419,H,2-1,0.5134,0.2581,0.2285,0.5027,0.279,0.2184,137.4,1.527,0.925
12536097,2748,200,D,1-1,0.3423,0.2556,0.4022,0.3201,0.3022,0.3777,20.2,1.303,1.434
12536102,2748,200,D,1-1,0.212,0.2182,0.5698,0.1989,0.2531,0.548,47.3,1.109,1.953
12536115,2894,499,D,2-2,0.3537,0.2641,0.3821,0.3337,0.305,0.3613,48.1,1.267,1.327
12536343,2747,423,H,5-2,0.5022,0.2528,0.245,0.4919,0.273,0.2351,144.6,1.57,1.015
12536345,2747,423,H,2-1,0.57,0.2325,0.1975,0.5611,0.2502,0.1887,196.6,1.773,0.939
12536524,2748,200,A,0-1,0.3537,0.2632,0.3831,0.343,0.2847,0.3723,134.0,1.274,1.336
12536527,2748,200,H,2-0,0.3149,0.2533,0.4318,0.2951,0.297,0.408,32.5,1.245,1.501
12536594,2745,477,A,0-2,0.3247,0.2622,0.4131,0.3142,0.2833,0.4025,140.9,1.208,1.398
12536757,2858,419,A,0-1,0.6793,0.195,0.1257,0.6719,0.2098,0.1183,222.4,2.073,0.759
12536823,2748,200,D,1-1,0.2861,0.2337,0.4802,0.2716,0.2669,0.4616,55.0,1.308,1.757
12536838,2747,423,H,3-1,0.1994,0.2198,0.5809,0.1842,0.2637,0.5521,12.8,1.032,1.921
